City,Population,Country,Coordinates
Chakradharpur,197953,India,Point(85.63 22.7)
Bhiwani,197662,India,Point(76.133333333 28.783333333)
Madhyamgram,196127,India,Point(88.45 22.7)
Norwich,195971,United Kingdom,Point(1.299167 52.628056)
Gandhinagar,195891,India,Point(72.68 23.22)
Berhampore,195223,India,Point(88.25 24.1)
Peterborough,194000,United Kingdom,Point(-0.25 52.583333333)
Mahbubnagar,190400,India,Point(77.983333333 16.733333333)
Bournemouth,187503,United Kingdom,Point(-1.88 50.72)
Mehsana,184991,India,Point(72.4 23.6)
Adoni,184625,India,Point(77.28 15.63)
Raiganj,183612,India,Point(88.116666666 25.616666666)
Swindon,182441,United Kingdom,Point(-1.781111111 51.558333333)
Serampore,181842,India,Point(88.34 22.75)
Jaunpur,180362,India,Point(82.683333333 25.733333333)
Hugli-Chinsurah,179931,India,Point(88.39 22.9)
Cuddalore,173676,India,Point(79.75 11.75)
Deo,173216,India,Point(84.435647222 24.656055555)
Medinipur,169264,India,Point(87.333333333 22.433333333)
Baramulla,167986,India,Point(74.34 34.2)
Chandannagar,166867,India,Point(88.383333333 22.866666666)
Warrington,165456,United Kingdom,Point(-2.60288 53.38732)
Udupi,165401,India,Point(74.746111111 13.332222222)
Huddersfield,162949,United Kingdom,Point(-1.779722222 53.645)
Godhra,161925,India,Point(73.61488 22.77547)
Godhra,161925,India,Point(73.620277777 22.777222222)
Uttarpara Kotrung,159147,India,Point(88.35 22.67)
Saharsa,156540,India,Point(86.6 25.88)
Saharsa,156540,India,Point(86.599988 25.881916)
Vidisha,155959,India,Point(77.8061 23.5239)
Pathankot,155909,India,Point(75.649722222 32.268888888)
Dibrugarh,154019,India,Point(95.0 27.483333333)
Newport,153302,United Kingdom,Point(-3.0 51.583333333)
Balurghat,153279,India,Point(88.766666666 25.216666666)
Krishnanagar,153062,India,Point(88.5 23.4)
Barrackpore,152783,India,Point(88.36666667 22.75)
Oxford,152000,United Kingdom,Point(-1.257777777 51.751944444)
Santipur,151777,India,Point(88.43 23.25)
Erode,151184,India,Point(77.717222222 11.340833333)
Jamuria,149220,India,Point(87.08 23.7)
Dundee,148270,United Kingdom,Point(-2.97 56.464)
Habra,147221,India,Point(88.63 22.83)
Beed,146709,India,Point(75.766666666 18.983333333)
West Bromwich,146386,United Kingdom,Point(-1.983333333 52.516666666)
Ajitgarh,146213,India,Point(76.69 30.78)
Newport,145700,United Kingdom,Point(-3.0 51.583333333)
Gloucester,145563,United Kingdom,Point(-2.244444444 51.864444444)
Poole,144800,United Kingdom,Point(-1.983333333 50.716666666)
Birkenhead,142968,United Kingdom,Point(-3.016666666 53.383333333)
Telford,142723,United Kingdom,Point(-2.4475 52.679166666)
New Delhi,142004,India,Point(77.2 28.7)
Preston,141801,United Kingdom,Point(-2.698055555 53.759444444)
Mandsaur,141667,India,Point(75.08 24.03)
Middlesbrough,140545,United Kingdom,Point(-1.233333333 54.573888888)
Bankura,137386,India,Point(87.066666666 23.25)
Brighton,134293,United Kingdom,Point(-0.133888888 50.824166666)
Sale,134022,United Kingdom,Point(-2.322 53.424)
Hassan,133436,India,Point(76.102777777 13.005)
North Barrackpur,132806,India,Point(88.34591 22.77687)
Yavatmal,132000,India,Point(78.13201 20.39324)
Yavatmal,132000,India,Point(78.133333333 20.4)
Mandya,131211,India,Point(76.895833333 12.524166666)
Palakkad,130955,India,Point(76.654722222 10.779166666)
Palakollu,129717,India,Point(81.7333 16.5333)
Kanchrapara,129576,India,Point(88.43 22.97)
Gunthakal,126270,India,Point(77.38 15.17)
Nabadwip,125543,India,Point(88.377777777 23.407222222)
Basirhat,125254,India,Point(88.894166666 22.657222222)
Halisahar,124939,India,Point(88.42 22.95)
Rishra,124577,India,Point(88.35 22.71)
Exeter,124180,United Kingdom,Point(-3.533108333 50.721538888)
Cambridge,123867,United Kingdom,Point(0.1225 52.208055555)
Ashoknagar Kalyangarh,121592,India,Point(88.633 22.833)
Baidyabati,121110,India,Point(88.32 22.79)
High Wycombe,120256,United Kingdom,Point(-0.751666666 51.621666666)
